item,City,Latitude,Longitude,Year,Amount,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2005,581,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2005,2318,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2005,2969,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2005,473,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2005,365,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2005,1456,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2005,2629,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2005,3002,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2005,609,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2005,2933,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2005,18962,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2005,815,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2005,920,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2005,1192,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2005,664,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2005,5665,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2005,162,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2005,346,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2005,8875,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2006,839,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2006,2468,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2006,1986,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2006,491,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2006,381,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2006,1513,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2006,2621,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2006,3171,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2006,664,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2006,2878,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2006,19059,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2006,879,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2006,817,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2006,1315,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2006,632,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2006,6135,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2006,141,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2006,312,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2006,8453,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2007,801,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2007,3019,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2007,1633,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2007,537,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2007,406,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2007,1644,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2007,2740,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2007,3156,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2007,713,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2007,3020,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2007,20238,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2007,932,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2007,837,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2007,1457,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2007,662,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2007,6241,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2007,130,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2007,291,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2007,8846,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2008,575,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2008,2757,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2008,1505,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2008,561,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2008,419,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2008,1595,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2008,2885,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2008,3056,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2008,724,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2008,3324,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2008,20830,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2008,919,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2008,882,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2008,1476,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2008,726,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2008,6303,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2008,123,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2008,323,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2008,8947,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2009,510,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2009,2206,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2009,1897,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2009,584,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2009,434,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2009,1486,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2009,2861,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2009,2787,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2009,766,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2009,3485,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2009,20620,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2009,960,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2009,863,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2009,1506,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2009,711,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2009,5953,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2009,114,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2009,362,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2009,8840,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2010,411,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2010,1985,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2010,1815,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2010,615,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2010,433,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2010,1587,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2010,3095,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2010,2767,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2010,875,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2010,3500,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2010,20537,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2010,956,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2010,768,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2010,1555,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2010,703,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2010,6315,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2010,111,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2010,332,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2010,8662,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2011,439,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2011,2056,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2011,1595,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2011,602,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2011,404,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2011,1776,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2011,3100,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2011,2882,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2011,903,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2011,4085,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2011,20520,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2011,904,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2011,794,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2011,1465,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2011,726,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2011,6602,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2011,123,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2011,263,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2011,8342,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2012,503,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2012,2059,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2012,1755,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2012,596,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2012,400,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2012,2147,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2012,2812,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2012,2935,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2012,862,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2012,4380,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2012,20124,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2012,878,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2012,948,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2012,1451,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2012,678,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2012,6167,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2012,123,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2012,233,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2012,8656,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2013,436,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2013,2084,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2013,1781,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2013,664,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2013,427,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2013,2150,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2013,2644,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2013,2772,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2013,938,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2013,3982,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2013,20527,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2013,973,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2013,801,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2013,1598,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2013,650,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2013,6114,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2013,114,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2013,237,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2013,9026,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2014,513,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2014,2262,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2014,1782,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2014,661,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2014,441,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2014,1831,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2014,2781,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2014,2976,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2014,951,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2014,4511,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2014,21389,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2014,1080,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2014,860,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2014,1652,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2014,772,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2014,6826,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2014,106,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2014,284,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2014,9237,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2015,630,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2015,2283,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2015,1632,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2015,595,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2015,453,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2015,1795,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2015,3138,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2015,3339,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2015,917,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2015,4843,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2015,21964,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2015,1043,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2015,957,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2015,1578,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2015,806,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2015,7357,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2015,124,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2015,334,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2015,9908,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2016,491,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2016,2169,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2016,1472,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2016,556,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2016,458,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2016,1531,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2016,3484,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2016,3626,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2016,967,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2016,4776,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2016,21644,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2016,947,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2016,807,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2016,1562,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2016,756,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2016,6955,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2016,116,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2016,310,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2016,9021,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2017,509,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2017,1987,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2017,1685,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2017,539,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2017,453,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2017,1673,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2017,3328,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2017,3652,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2017,954,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2017,5154,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2017,21254,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2017,977,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2017,1034,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2017,1595,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2017,958,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2017,6768,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2017,129,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2017,216,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2017,7717,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2018,657,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2018,2017,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2018,1597,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2018,575,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2018,467,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2018,1968,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2018,2863,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2018,3720,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2018,983,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2018,5476,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2018,22501,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2018,1070,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2018,1003,,,,,,,,,,,,,,,,,,
